Kapasitas_Fungsional,Indikator,Pertanyaan,L1,L2,L3,L4,L5
6.3. Keterampilan,6.3.1. Pengelolaan Data/Informasi,Sejauhmana kemampuan dalam pengelolaan data/informasi ?,Tidak memiliki,(1) memiliki kemampuan dalam pengelolaan data sesuai dengan tugas,(1) memiliki kemampuan dalam pengelolaan data sesuai dengan tugas (2) menggunakan metode/teknologi terbaru,(1) memiliki kemampuan dalam pengelolaan data sesuai dengan tugas (2) menggunakan metode yang selama ini digunakan,(1) memiliki kemampuan dalam pengelolaan data sesuai dengan tugas (2) menggunakan metode/teknologi terbaru (3) berbasis internet
6.3. Keterampilan,6.3.2. Analisis Menggunakan GIS,Sejauhmana kemampuan dalam menggunakan GIS?,Tidak memiliki,(1) memahami konsep tentang GIS,"(1) memahami konsep tentang GIS, (2) Dapat menggunakan salah satu perangkat GIS","(1) memahami konsep tentang GIS, (2) Dapat menggunakan salah satu perangkat GIS, (3) dapat menampilkan data menggunakan GIS","(1) memahami konsep tentang GIS, (2) Dapat menggunakan salah satu perangkat GIS, (3) dapat menampilkan data menggunakan GIS, (4) dapat melakukan analisis menggunakan GIS"
6.3. Keterampilan,6.3.3. Pengumpulan Data,Apakah terdapat kapasitas untuk mengumpulkan data ?,Tidak memiliki kapasitas,Pernah terlibat dalam kegiatan yang menggunakan skill ini,Beberapa kali terlibat dalam kegiatan menggunakan skill ini,Sudah seringkali melakukan kegiatan ini,Selalu menggunakan skill ini
6.3. Keterampilan,6.3.4. Identifikasi Sumber emisi,Apakah terdapat kapasitas untuk mengidentifikasi sumber-sumber emisi ?,Tidak memiliki kapasitas,Pernah terlibat dalam kegiatan yang menggunakan skill ini,Beberapa kali terlibat dalam kegiatan menggunakan skill ini,Sudah seringkali melakukan kegiatan ini,Selalu menggunakan skill ini
6.3. Keterampilan,6.3.5. Penghitungan emisi GRK,Apakah terdapat kapasitas luntuk melakukan perhitungan emisi GRK?,Tidak memiliki kapasitas,Pernah terlibat dalam kegiatan yang menggunakan skill ini,Beberapa kali terlibat dalam kegiatan menggunakan skill ini,Sudah seringkali melakukan kegiatan ini,Selalu menggunakan skill ini
6.3. Keterampilan,6.3.6. Penyusunan Baseline,Apakah terdapat kapasitas untuk menentukan baseline emisi GRK?,Tidak memiliki kapasitas,Pernah terlibat dalam kegiatan yang menggunakan skill ini,Beberapa kali terlibat dalam kegiatan menggunakan skill ini,Sudah seringkali melakukan kegiatan ini,Selalu menggunakan skill ini
6.3. Keterampilan,6.3.7. Mengidentifikasi kegiatan mitigasi/rendah karbon,Apakah terdapat kapasitas untuk menyusun aksi mitigasi/kegaiatn PRK?,Tidak memiliki kapasitas,Pernah terlibat dalam kegiatan yang menggunakan skill ini,Beberapa kali terlibat dalam kegiatan menggunakan skill ini,Sudah seringkali melakukan kegiatan ini,Selalu menggunakan skill ini
6.3. Keterampilan,"6.3.8. Ex ante analys perhitungan dampak kegiatan rendah karbon /mitigasi terhadap emisi, dan sosial ekonomi",Apakah terdapat kapasitas melakukan perhitungan dampak kegiatan PRK?,Tidak memiliki kapasitas,Pernah terlibat dalam kegiatan yang menggunakan skill ini,Beberapa kali terlibat dalam kegiatan menggunakan skill ini,Sudah seringkali melakukan kegiatan ini,Selalu menggunakan skill ini
6.3. Keterampilan,6.3.9. Penguasaan penggunaan software yang membantu dalam proses RAD GRK/PPRKD sesuai sektor,Apakah mampu dalam menggunakan software yang membantu dalam proses RAD GRK/PPRKD?,Tidak memiliki kapasitas,Pernah terlibat dalam kegiatan yang menggunakan software ini,Beberapa kali terlibat dalam kegiatan menggunakan software ini,Sudah seringkali menggunakan software ini,Selalu menggunakan software ini
