Kapasitas_Fungsional,Indikator,Pertanyaan,L1,L2,L3,L4,L5
6.4. Pengembangan dan Motivasi,6.4.1. Kerjasama dalam kelembagaan,Sejauhmana kemampuan dalam melakukan bekerjasama dalam kelembagaan ?,Tidak memiliki kemampuan,Pernah memiliki pengalaam dalam kerja tim,Beberapa kali terlibat dalam pekerjasaan secara kerja tim,Seringkali kali terlibat dalam pekerjasaan secara kerja tim,Selalu melakukan tugas dengan bekerjasama sesuai TUSI-nya
6.4. Pengembangan dan Motivasi,6.4.2. Pengembangan kompetensi,Adakah kegiatan pengembangan kompetensi yang diikuti?,Tidak ada,Pernah mengikuti,Beberapa kali mengikut kegiatan ditingkat nasional,Seringkali mengikuti kegiatan ditingkat nasional,Mengikuti program pengembangan kompetensi secara reguler
6.4. Pengembangan dan Motivasi,6.4.3. Motivasi dalam Kegiatan Kajiulang RAD GRK /PPRKD,Bagaimana tingkat motivasi yang dimiliki oleh para anggota ?,Tidak ada motivasi,Motivasi karena perintah dari atasan,Motivasi yang terbentuk karena menjalankan tugas yang diperintahkan,Motivasi dalam rangka menjalankan prosedur kerja yang sudah disepakati,Motivasi tinggi sebagai bagian dari tanggung jawab pembangunan
